""	"Gene.symbol"	"baseMean"	"logFC"	"lfcSE"	"stat"	"pvalue"	"adj.P.Val"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"OTU"	"row2"	"names"	"gs"	"abundance"	"sig"	"pch"
"284"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	0.604053877169397	3.45740063013358	2.23493368699353	1.54698130430193	0.121867753911465	0.270340440014869	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	"972033"	"g__Streptococcus.s__"	2.11224921861562e-05	0.568088983670007	19
"285"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	0.719363196747679	4.03054251487366	2.60903172089843	1.54484228098451	0.122384417460506	0.270533975439012	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	"4330071"	"g__Streptococcus.s__"	3.04567694743858e-05	0.567778185569952	19
"286"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__.g__.s__"	2.93442986266248	-4.43070055342929	2.88111492542235	-1.53784235204703	0.124087165406678	0.271449518206438	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__.g__.s__"	"674655"	"g__.s__"	0.000275996493012609	0.566310924833393	19
"287"	"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__[Weeksellaceae].g__.s__"	1.11183311844773	4.58191433978961	2.97896335146397	1.53809020092103	0.124026561600553	0.271449518206438	"k__Bacteria"	"p__Bacteroidetes"	"c__Flavobacteriia"	"o__Flavobacteriales"	"f__[Weeksellaceae]"	"g__"	"s__"	"k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__[Weeksellaceae].g__.s__"	"4433676"	"g__.s__"	8.2998916254387e-05	0.566310924833393	19
"288"	"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__"	20.3363303089346	3.54421764579042	2.3046938065356	1.53782582126086	0.124091208322943	0.271449518206438	"k__Bacteria"	"p__Actinobacteria"	"c__Actinobacteria"	"o__Actinomycetales"	"f__Actinomycetaceae"	"g__Actinomyces"	"s__"	"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__"	"510422"	"g__Actinomyces.s__"	0.000863765665230004	0.566310924833393	19
"289"	"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter.s__"	0.923833868823203	4.3469416475822	2.83040544395905	1.53580175478389	0.124587009227731	0.2715910581781	"k__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pasteurellales"	"f__Pasteurellaceae"	"g__Aggregatibacter"	"s__"	"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Aggregatibacter.s__"	"862115"	"g__Aggregatibacter.s__"	0.000141925760897274	0.566084532800361	19
"290"	"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__"	0.608115536516321	3.41432830893658	2.22618292239284	1.53371417712011	0.125099984451214	0.271768931738844	"k__Bacteria"	"p__Proteobacteria"	"c__Betaproteobacteria"	"o__Neisseriales"	"f__Neisseriaceae"	"g__Neisseria"	"s__"	"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Neisseria.s__"	"4314749"	"g__Neisseria.s__"	2.18392840771199e-05	0.56580019273079	19
"291"	"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__.g__.s__"	1.07185431095279	4.53858556335065	2.97928273355308	1.52338195775664	0.127663173233068	0.276384189473652	"k__Bacteria"	"p__Acidobacteria"	"c__Solibacteres"	"o__Solibacterales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Acidobacteria.c__Solibacteres.o__Solibacterales.f__.g__.s__"	"671400"	"g__.s__"	4.85523965128454e-05	0.558486804354068	19
"292"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	2.13230284561145	2.46490085628226	1.62040987708997	1.52115886920467	0.128219974319571	0.276638985689485	"k__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__"	"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__"	"863124"	"g__Streptococcus.s__"	7.55571183806913e-05	0.558086616429418	19
"293"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Kaistobacter.s__"	1.0284799535852	4.47844857436522	2.97974208188614	1.50296517325769	0.132848025034825	0.280027385925059	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	"g__Kaistobacter"	"s__"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Sphingomonadales.f__Sphingomonadaceae.g__Kaistobacter.s__"	"367995"	"g__Kaistobacter.s__"	4.05757943905158e-05	0.552799493748719	19
"294"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium.s__"	1.0284799535852	4.47844857436522	2.97974208188614	1.50296517325769	0.132848025034825	0.280027385925059	"k__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Rhizobiaceae"	"g__Agrobacterium"	"s__"	"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium.s__"	"561885"	"g__Agrobacterium.s__"	4.05757943905158e-05	0.552799493748719	19
"295"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__.s__"	1.02160434020019	4.47783353659382	2.97974687858261	1.50275634778878	0.132901886335862	0.280027385925059	"k__Bacteria"	"p__Bacteroidetes"	"c__Bacteroidia"	"o__Bacteroidales"	"f__"	"g__"	"s__"	"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__.s__"	"245523"	"g__.s__"	0.000422304289041195	0.552799493748719	19
