Kegg	SmNV.0016.BronchSup	SmNV.0016.BAL.L.untouched	COPD.0021.BronchSup	COPD.0021.BAL.R.untouched	SmNV.0023.BronchSup	SmNV.0023.BAL.R.Untouched	SmNV.0027.Oral	SmNV.0027.BAL.L.untouched	COPD.0030.BronchSup	COPD.0030.BAL.L.untouched	SmNV.0032.Oral	SmNV.0032.BAL.R.untouched	COPD.0035.BAL.L.untouched	COPD.0035.BronchSup	COPD.0036.Oral	COPD.0036.BAL.L.Untouched	SmNV.0038.Oral	SmNV.0038.Bronch	SmNV.0038.BAL.L.untouched	SmNV.0039.Oral	SmNV.0039.BAL.L.untouched	SmNV.0005.BronchSup	SmNV.0005.BAL.L.untouched	COPD.0003.Oral	COPD.0003.BAL.L.untouched	SmNV.0008.BronchSup	SmNV.0008.BAL.L.untouched	COPD.0007.BronchSup	COPD.0007.BAL.L.untouched	SmNV.0009.Oral	SmNV.0009.BAL.L.untouched	SmNV.0004.BronchSup	SmNV.0004.BAL.L.untouched	COPD.0026.BronchSup	COPD.0026.BAL.R.untouched	COPD.0002.Bronch	COPD.0002.BronchSup	COPD.0002.BALF.L.untouched	COPD.0041.BronchSup	COPD.0041.BAL.L.untouched
UNMAPPED	401271	188235	453594	110836	5291451	140213	846335	42557	4367636	802579	1955823	171569	303902	1043498	652616	433143	3004454	65943	196451	2369919	138331	386108	254647	296981	211211	427388	114963	4343118	252704	1422731	260105	619249	244569	2300981	170798	187822	6523125	472252	1212510	223394
UNGROUPED	50780.642	9618.806	344883.598	8942.172	5353191.273	11244.363	983459.158	2890.881	4954897.814	460534.09	1736903.212	9110.661	164454.289	803638.805	587698.53	10485.708	4815707.596	848.808	12055.854	3326321.452	10927.331	323600.19	22051.829	347670.688	18769.537	583211.225	6434.047	5815522.47	18519.5	1450438.084	17747.546	324549.075	12294.034	1866437.533	16185.308	853	8265515.968	223998.234	689493.051	19211.191
UNGROUPED|g__Actinomyces.s__Actinomyces_graevenitzii	4645.104	0	1489.828	0	370644.646	0	62550.794	0	347628.145	21048.723	122494.306	0	4834.792	22091.87	23249.686	0	115973.627	0	0	46022.585	0	14477.872	0	0	0	0	0	75142.05	0	58724.504	0	6942.49	0	4659.008	0	0	147782.121	1652.124	14544.452	0
UNGROUPED|g__Actinomyces.s__Actinomyces_odontolyticus	0	0	0	0	51822.71	0	24842.729	0	177051.729	0	126533.956	0	0	16287.532	8476.012	0	238347.102	0	0	46437.085	0	0	0	0	0	0	0	154357.749	0	93925.546	0	0	0	35308.864	0	0	111389.807	6877.504	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_oris	0	0	0	0	8096.877	0	44312.236	0	0	0	0	0	0	0	4560.156	0	112175.979	0	0	33815.095	0	0	0	0	0	0	0	18700.032	0	45906.125	0	0	0	0	0	0	5889.635	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	142240.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61267.446	0	0	0	0	0	110728.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282035.526	0	208042.053	0	0	0	0	0	0	168874.022	0	0	0
UNGROUPED|g__Actinomyces.s__Actinomyces_viscosus	0	0	0	0	0	0	86090.57	0	0	0	10095.904	0	0	0	7298.635	0	88349.173	0	0	56862.697	0	0	0	11092.256	0	0	0	21801.091	0	37571.821	0	0	0	0	0	0	8020.635	0	0	0
UNGROUPED|g__Atopobium.s__Atopobium_parvulum	180.014	0	286.827	0	18007.839	0	2347.72	0	22002.267	891.223	5336.101	0	609.881	1418.365	1144.039	0	2216.738	0	0	19099.701	0	4021.436	0	0	0	5520.478	0	20446.802	0	3283.374	0	1146.578	0	866.817	0	0	66835.374	483.102	2111.795	0
UNGROUPED|g__Atopobium.s__Atopobium_rimae	0	0	0	0	25570.562	0	1550.993	0	31273.544	4995.028	0	0	0	5757.888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13578.894	0	0	0
UNGROUPED|g__Campylobacter.s__Campylobacter_concisus	0	0	0	0	30756.104	0	1244.3	0	11993.881	1535.277	4554.966	0	0	1738.782	751.976	0	6234.5	0	0	1022.72	0	0	0	0	0	1506.364	0	8530.383	0	7193.933	0	0	0	3068.123	0	0	24524.323	658.002	0	0
UNGROUPED|g__Clostridiales_Family_XIII_Incertae_Sedis_noname.s__Eubacterium_infirmum	0	0	0	0	20710.803	0	0	0	0	0	0	0	0	1313.192	0	0	2466.226	0	0	0	0	0	0	0	0	0	0	3255.764	0	3150.816	0	0	0	1515.653	0	0	9523.154	0	0	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_accolens	0	0	0	0	0	0	0	0	0	0	0	0	0	1891.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Corynebacterium.s__Corynebacterium_matruchotii	0	0	0	0	11812.904	0	0	0	0	0	0	0	0	0	5195.172	0	6525.32	0	0	6039.675	0	0	0	0	0	0	0	3039.031	0	24995.449	0	0	0	0	0	0	3229.774	0	0	0
UNGROUPED|g__Eubacterium.s__Eubacterium_brachy	0	0	0	0	0	0	0	0	0	0	0	0	0	2357.366	982.611	0	1756.369	0	0	4009.266	0	0	0	0	0	0	0	0	0	1587.707	0	0	0	0	0	0	0	0	1440.56	0
UNGROUPED|g__Gemella.s__Gemella_haemolysans	0	0	3272.613	0	11061.024	0	3760.323	0	4112.006	0	8247.26	0	0	2988.73	3875.759	0	55536.286	0	0	3039.869	0	0	0	0	0	0	0	12659.615	0	4970.017	0	0	0	14578.126	0	0	18188.24	1925.857	0	0
UNGROUPED|g__Granulicatella.s__Granulicatella_adiacens	0	0	0	0	9575.257	0	7527.465	0	12593.862	1974.273	31080.006	0	0	7587.338	3527.315	0	79612.354	0	0	9611.754	0	2615.072	0	0	0	5115.84	0	39394.929	0	11274.347	0	0	0	16638.303	0	0	26590.093	777.949	0	0
UNGROUPED|g__Haemophilus.s__Haemophilus_parainfluenzae	531.997	0	1064.814	0	7281.935	0	8374.634	0	31081.101	2891.943	44443.716	0	3976.645	46780.613	3957.295	0	65070.629	0	0	11252.213	0	944.747	0	0	0	0	0	28988.965	0	36269.594	0	0	0	26767.204	0	0	25970.041	2501.865	0	0
UNGROUPED|g__Influenzavirus_A.s__Influenza_A_virus	651.366	38.474	4677.39	93.475	0	2.905	0	0	467.668	1.377	0	0	284.801	0	602.154	0	498.764	0	0	61.006	0	0	2.392	223.03	0	36.047	24.151	468.726	0	1238.849	0	3.587	0	9.219	7.308	0	0	399.316	0	3.674
UNGROUPED|g__Lachnoanaerobaculum.s__Lachnoanaerobaculum_saburreum	0	0	0	0	11114.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3843.763	0	0	0	0	0	0	9473.618	0	0	0
UNGROUPED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_oral_taxon_082	0	0	0	0	69044.642	0	0	0	13568.706	0	7039.385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73308.756	0	0	0
UNGROUPED|g__Lautropia.s__Lautropia_mirabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2999.473	0	18841.252	0	0	0	0	0	0	0	0	0	0	2613.108	0	10042.274	0	0	0	0	0	0	2220.574	2259.601	0	0
UNGROUPED|g__Megasphaera.s__Megasphaera_micronuciformis	1328.013	0	2382.311	0	238336.906	0	9930.863	0	411889.397	25783.971	29536.228	0	7450.408	7789.551	5267.128	0	27215.467	0	0	60112.235	0	6245.391	0	0	0	0	0	87611.779	0	10178.069	0	3734.716	0	48467.756	0	0	179138.61	3833.163	0	0
UNGROUPED|g__Oribacterium.s__Oribacterium_sinus	0	0	0	0	30531.408	0	5328.355	0	256749.846	19988.472	14256.442	0	0	0	1225.835	0	20298.116	0	0	7419.71	0	0	0	0	0	0	0	85974.299	0	10272.091	0	0	0	8169.01	0	0	10725.526	0	0	0
UNGROUPED|g__Peptostreptococcus.s__Peptostreptococcus_stomatis	0	0	0	0	11626.771	0	962.796	0	0	0	0	0	0	2330.551	0	0	0	0	0	2288.369	0	0	0	0	0	0	0	0	0	3316.265	0	0	0	2197.713	0	0	40417.923	0	0	0
UNGROUPED|g__Porphyromonas.s__Porphyromonas_gingivalis	0	0	16736.94	0	20958.934	0	0	0	0	0	0	0	0	7158.119	102316.08	0	9825.507	0	0	106256.149	0	3912.303	0	0	0	0	0	0	0	41101.835	0	0	0	13384.72	0	0	36703.728	4225.018	0	0
UNGROUPED|g__Prevotella.s__Prevotella_histicola	3851.722	0	13048.708	0	199196.866	0	17086.001	0	675010.407	41521.76	124827.791	0	8816.332	21434.066	15940.12	0	0	0	0	160093.662	0	64477.334	0	0	0	166190.075	0	341618.339	0	30073.757	0	39307.583	0	18988.835	0	0	1075990.064	16296.753	12435.778	0
UNGROUPED|g__Prevotella.s__Prevotella_melaninogenica	9141.401	0	21686.321	0	1146232.885	0	99554.914	0	189354.732	13153.486	40357.709	0	14744.704	42120.383	20138.432	0	98384.276	0	0	75729.474	0	9249.797	0	0	0	0	0	246066.617	0	67280.302	0	8764.523	0	138803.105	0	0	1116060.158	16605.515	0	0
UNGROUPED|g__Prevotella.s__Prevotella_salivae	0	0	17326.83	0	118525.349	0	20592.01	0	494442.404	75389.816	39394.498	0	6544.667	17198.238	4701.09	0	16186.004	0	0	80104.482	0	0	0	0	0	0	0	232352.116	0	19605.882	0	9293.616	0	38575.102	0	0	416047.949	14263.603	0	0
UNGROUPED|g__Rothia.s__Rothia_dentocariosa	713.716	0	0	0	4184.566	0	30809.925	0	0	0	23678.56	0	545.401	4171.846	15635.348	0	92158.897	0	0	59573.587	0	8035.61	0	48564.231	0	0	0	7613.638	0	23113.284	0	0	0	726.539	0	0	3532.119	2197.326	633.985	0
UNGROUPED|g__Rothia.s__Rothia_mucilaginosa	480.424	0	0	0	19094.324	0	29373.889	0	6136.202	708.157	130230.431	0	2110.92	21564.449	61546.968	0	94955.096	0	0	330735.934	0	2336.49	0	29011.761	0	27949.644	0	151648.716	0	50430.621	0	786.036	0	1386.565	0	0	51221.06	11052.843	1784.992	0
UNGROUPED|g__Solobacterium.s__Solobacterium_moorei	0	0	1775.153	0	45495.588	0	3983.538	0	37114.36	2615.613	2627.585	0	1335.292	3307.088	0	0	5062.484	0	0	4625.589	0	3014.724	0	0	0	0	0	36532.326	0	9764.646	0	0	0	24395.218	0	0	58592.329	1357.268	0	0
UNGROUPED|g__Stomatobaculum.s__Stomatobaculum_longum	0	0	0	0	64874.216	0	2050.202	0	61603.112	15913.201	3137.495	0	774.374	4120.537	5216.577	0	8218.671	0	0	3527.73	0	544.606	0	0	0	0	0	89373.372	0	6519.279	0	910.668	0	3814.037	0	0	35319.081	739.634	4699.16	0
UNGROUPED|g__Streptococcus.s__Streptococcus_anginosus	0	0	0	0	9262.861	0	13339.644	0	12968.139	1602.816	0	0	0	10045.686	1976.437	0	18369.145	0	0	17988.816	0	3019.294	0	0	0	0	0	7542.409	0	2864.151	0	0	0	0	0	0	59720.68	1143.885	5207.641	0
UNGROUPED|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	4053.528	0	0	0	0	0	0	1871.742	3040.321	0	30680.16	0	0	5249.262	0	0	0	0	0	0	0	4339.8	0	3609.29	0	0	0	0	0	0	2013.114	0	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	2067.323	0	0	0	1718.981	0	0	791.953	2213.704	0	18354.87	0	0	15756.493	0	766.08	0	0	0	0	0	5041.773	0	949.994	0	0	0	0	0	0	2265.213	0	1172.14	0
UNGROUPED|g__Streptococcus.s__Streptococcus_infantis	0	0	2918.367	0	30260.858	0	28928.17	0	32894.367	6299.6	33305.548	0	3098.813	39773.188	9569.65	0	292510.501	0	0	47589.804	0	2942.546	0	9604.348	0	0	0	137886.597	0	16658.475	0	0	0	32024.579	0	0	46701.037	3671.551	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	3929.679	0	24966.039	0	78257.913	0	71231.051	0	75480.764	29091.505	85183.393	0	14399.192	74698.409	34362.918	0	1323812.988	0	0	167051.15	0	38731.284	0	19500.102	0	0	0	225071.764	0	38033.398	0	9503.626	0	317947.917	0	0	202696.623	28503.2	37558.276	0
UNGROUPED|g__Streptococcus.s__Streptococcus_oligofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12683.186	0	0	3842.692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_parasanguinis	1175.858	0	7297.97	0	27474.64	0	46860.348	0	64230.198	21960.946	151757.218	0	8572.943	46070.595	36408.051	0	333873.996	0	0	192289.832	0	8811.018	0	68676.028	0	61957.538	0	363141.043	0	36846.418	0	19203.112	0	39944.768	0	0	208141.977	5184.446	23261.842	0
UNGROUPED|g__Streptococcus.s__Streptococcus_peroris	0	0	0	0	0	0	0	0	8629.847	2868.027	0	0	0	0	912.108	0	26149.979	0	0	7383.814	0	0	0	0	0	0	0	19882.85	0	0	0	0	0	0	0	0	0	0	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_salivarius	1282.272	0	0	0	53665.664	0	42919.951	0	9229.802	2751.003	66005.769	0	7420.386	21738.287	59120.135	0	105177.126	0	0	797074.301	0	7896.934	0	86513.802	0	27745.644	0	161500.098	0	29705.09	0	25399.616	0	0	0	0	65267.072	10173.587	83051.43	0
UNGROUPED|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	34014.901	0	0	0	9876.778	0	1245.897	5546.48	12623.176	0	136038.835	0	0	41530.07	0	0	0	9000.935	0	0	0	22357.577	0	17593.758	0	0	0	0	0	0	12336.514	1463.286	0	0
UNGROUPED|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	4844.888	0	0	0	0	0	0	0	0	2920.386	3626.896	0	48349.404	0	0	9177.755	0	0	0	0	0	0	0	10954.026	0	0	0	0	0	0	0	0	28425.152	2224.944	0	0
UNGROUPED|g__Veillonella.s__Veillonella_atypica	3073.823	0	30644.611	0	384846.267	0	49076.619	0	416034.593	43669.406	113660.533	0	25614.356	51833.971	20198.688	0	117365.945	0	0	232677.611	0	45544.62	0	1519.988	0	81620.2	0	763184.049	0	56380.66	0	47022.946	0	89300.104	0	0	964845.323	9651.129	126526.674	0
UNGROUPED|g__Veillonella.s__Veillonella_dispar	2926.569	0	6480.905	0	222219.989	0	37031.79	0	77437.175	6929.069	82644.558	0	2699.174	21556.895	13254.572	0	100289.057	0	0	86629.171	0	14186.113	0	1756.344	0	6693.847	0	471461.785	0	48444.189	0	10546.875	0	50190.065	0	0	264253.303	3273.756	14873.606	0
UNGROUPED|g__Veillonella.s__Veillonella_parvula	859.066	0	746.044	0	45589.243	0	22483.666	0	11779.726	947.864	12935.772	0	1054.284	10686.284	5338.152	0	26251.594	0	0	26636.976	0	2402.126	0	7669.617	0	2387.169	0	54465.042	0	16158.347	0	3156.618	0	14205.63	0	0	111309.188	3160.084	7931.062	0
UNGROUPED|unclassified	16009.617	9580.332	188081.927	8848.697	1809970.67	11241.458	169177.908	2890.881	1462139.837	116001.534	411942.323	9110.661	48321.029	274696.698	86445.859	10485.708	1059891.975	848.808	12055.854	486435.672	10927.331	79424.793	22049.436	54538.245	18769.537	85760.19	6409.896	1618468.683	18519.5	359518.112	17747.546	138826.485	12294.034	920504.553	16178	853	2558393.165	67441.923	352259.66	19207.518
K00001	0	0	2.252	0	20.218	0	8.839	0	18.012	24.706	26.895	0	2.252	2.251	9.005	0	30.631	0	0	74.485	0	7.191	0	0	0	13.136	0	27.64	0	5.629	0	17.269	0	28.895	0	0	21.201	1.126	87.343	0
K00001|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	2.252	0	20.218	0	8.839	0	9.005	24.706	26.895	0	2.252	2.251	9.005	0	15.584	0	0	68.544	0	1.126	0	0	0	0	0	9.009	0	5.629	0	2.131	0	28.895	0	0	21.201	1.126	18.879	0
K00001|g__Streptococcus.s__Streptococcus_peroris	0	0	0	0	0	0	0	0	9.006	0	0	0	0	0	0	0	7.78	0	0	1.126	0	0	0	0	0	0	0	7.877	0	0	0	0	0	0	0	0	0	0	0	0
K00001|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.267	0	0	4.815	0	6.065	0	0	0	13.136	0	10.754	0	0	0	15.137	0	0	0	0	0	0	68.464	0
K00003	1.764	0	21.042	0	195.078	0	92.185	0	205.151	47.28	297.079	0	24.524	102.23	136.632	0	1375.192	0	0	621.947	0	57.713	0	123.866	0	93.163	0	614.287	0	130.023	0	12.225	0	245.562	0	0	524.824	29	101	0
K00003|g__Atopobium.s__Atopobium_parvulum	0	0	0	0	10.101	0	0	0	24.239	1.918	14.051	0	0	0	0	0	0	0	0	14.14	0	0.9	0	0	0	5.046	0	9.994	0	5.051	0	0.943	0	0	0	0	67.99	0	2.02	0
K00003|g__Campylobacter.s__Campylobacter_concisus	0	0	0	0	48.355	0	1.797	0	8.084	7.871	4.435	0	0	2.695	1.797	0	6.289	0	0	0	0	0	0	0	0	0	0	13.473	0	8.969	0	0	0	3.591	0	0	34.053	0	0	0
K00003|g__Rothia.s__Rothia_dentocariosa	1.764	0	0	0	0.881	0	13.224	0	0	0	8.816	0	0.882	3.526	12.341	0	77.41	0	0	46.632	0	5.29	0	24.688	0	0	0	8.753	0	22.845	0	0	0	0	0	0	0.882	0	0	0
K00003|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	13.994	0	17.522	0	0.877	0	95.549	0	0	10.522	42.972	0	11.401	0	0	124.286	0	0.877	0	21.046	0	13.153	0	112.099	0	0	0	0	0	0	0	0	36.69	7.893	1.739	0
K00003|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	0	0	0	0	0	0	0	5.277	0	0	14.072	0	0	0	0	0	0	0	0	0	0	0.88	0	3.517	0	0	0	0	0	0	0.88	0	0	0
K00003|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	6.155	0	0	0.879	0.88	0	3.495	0	0	14.071	0	0	0	0	0	0	0	1.757	0	0	0	0	0	0	0	0	0	0	4.397	0
K00003|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	9.656	0	45.697	0	17.44	0	55.195	23.534	41.135	0	13.192	28.875	18.467	0	871.482	0	0	114.256	0	22.86	0	2.639	0	0	0	86.824	0	28.142	0	0	0	213.863	0	0	91.762	18.468	20.008	0
K00003|g__Streptococcus.s__Streptococcus_oligofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	11.385	0	13.193	0	26.282	0	28.135	13.956	111.557	0	5.277	35.038	30.7	0	221.196	0	0	172.142	0	10.551	0	72.053	0	45.529	0	288.859	0	36.052	0	11.282	0	20.081	0	0	150.185	2.639	13.13	0
K00003|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	11.315	0	0	0	2.638	0	5.173	7.026	12.308	0	74.312	0	0	33.338	0	0	0	3.439	0	0	0	5.277	0	7.02	0	0	0	0	0	0	0	0	0	0
K00003|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	4.394	0	0	0	0	0	0	0	0	2.591	3.517	0	33.268	0	0	4.397	0	0	0	0	0	0	0	4.396	0	0	0	0	0	0	0	0	19.315	0	0	0
K00003|unclassified	0	0	0	0	58.464	0	4.603	0	88.62	0	12.743	0	0	5.802	13.65	0	55.231	0	0	98.684	0	17.234	0	0	0	29.434	0	81.976	0	18.427	0	0	0	8.026	0	0	123.068	0	59.707	0
K00004	0	0	0	0	8.54	0	20.236	0	0	5.319	93.731	0	0	22.557	52.336	0	79.6	0	0	222.548	0	6.408	0	7.477	0	31.987	0	138.005	0	43.131	0	0	0	26.503	0	0	40.362	0	33.873	0
K00004|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	8.54	0	20.236	0	0	5.319	93.731	0	0	14.783	52.336	0	48.072	0	0	222.548	0	6.408	0	7.477	0	31.987	0	108.815	0	34.175	0	0	0	0	0	0	28.394	0	0	0
K00004|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	7.774	0	0	31.527	0	0	0	0	0	0	0	0	0	0	29.19	0	8.955	0	0	0	26.503	0	0	11.968	0	33.873	0
K00005	4.075	0	24.98	0	791.22	0	139.933	0	511.827	31.205	401.921	0	11.485	110.226	90.707	0	719.163	0	0	1103.387	0	77.883	0	132.178	0	169.523	0	1343.683	0	170.575	0	104.759	0	267.245	0	0	1490.885	6.347	148.908	0
K00005|g__Atopobium.s__Atopobium_parvulum	0	0	8.335	0	138.175	0	18.526	0	200.593	5.158	30.816	0	0	6.888	10.191	0	30.696	0	0	124.578	0	45.745	0	0	0	53.87	0	167.666	0	20.434	0	10.062	0	11.146	0	0	407.142	2.115	24.218	0
K00005|g__Atopobium.s__Atopobium_rimae	0	0	0	0	56.383	0	5.325	0	83.016	2.056	0	0	0	12.776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151.305	0	0	0
K00005|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058	1.058	0	26.453	0	0	30.594	0	0	0	0	0	0	0	1.058	0	0	0	0	0	0	0	0	2.096	0	0	0
K00005|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	14.904	0	0	0	9.506	2.129	0	0	0	2.13	0	0	5.324	0	0	6.39	0	0	0	5.325	0	0	0	3.193	0	0	0	3.178	0	192.823	0	0	3.194	2.13	0	0
K00005|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	8.493	0	25.458	0	37.038	0	59.306	16.746	180.16	0	3.185	49.382	18.042	0	313.428	0	0	189.208	0	1.062	0	58.079	0	84.467	0	360.443	0	48.571	0	43.139	0	12.657	0	0	171.834	0	29.264	0
K00005|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	42.175	0	6.289	0	3.165	1.042	44.421	0	4.225	7.287	32.621	0	46.283	0	0	532.201	0	3.145	0	64.574	0	23.925	0	67.799	0	15.777	0	22.935	0	0	0	0	34.472	0	42.663	0
K00005|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	11.543	0	0	0	5.291	0	0	0	5.29	0	119.413	0	0	16.876	0	0	0	0	0	0	0	0	0	9.523	0	0	0	0	0	0	1.057	0	0	0
K00005|g__Veillonella.s__Veillonella_dispar	4.075	0	8.153	0	365.281	0	41.732	0	104.561	4.074	141.233	0	4.075	26.471	22.423	0	147.329	0	0	126.132	0	18.346	0	2.038	0	5.096	0	648.373	0	60.018	0	25.445	0	50.619	0	0	487.011	1.019	19.26	0
K00005|g__Veillonella.s__Veillonella_parvula	0	0	0	0	59.467	0	19.479	0	0	0	0	0	0	4.233	1.082	0	6.494	0	0	28.004	0	1.082	0	2.163	0	2.165	0	19.333	0	7.575	0	0	0	0	0	0	95.959	1.082	8.553	0
K00005|unclassified	0	0	0	0	89.378	0	0	0	51.681	0	0	0	0	0	0	0	23.745	0	0	49.405	0	8.504	0	0	0	0	0	75.817	0	8.677	0	0	0	0	0	0	136.816	0	24.95	0
K00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00008|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00009	0	0	6.076	0	4.052	0	9.027	0	4.459	0	13.17	0	0	0	0	0	6.078	0	0	8.104	0	14.122	0	6.379	0	4.984	0	7.092	0	0	0	0	0	5.066	0	0	0	0	44.558	0
K00009|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	6.076	0	4.052	0	9.027	0	0	0	13.17	0	0	0	0	0	6.078	0	0	8.104	0	0	0	0	0	0	0	7.092	0	0	0	0	0	5.066	0	0	0	0	0	0
K00009|unclassified	0	0	0	0	0	0	0	0	4.459	0	0	0	0	0	0	0	0	0	0	0	0	14.122	0	6.379	0	4.984	0	0	0	0	0	0	0	0	0	0	0	0	44.558	0
K00010	0	0	0	0	0	0	0	0	0	0	0	0	0	5.806	0	0	38.326	0	0	0	0	0	0	0	0	0	0	0	0	4.643	0	0	0	0	0	0	0	0	0	0
K00010|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	5.806	0	0	38.326	0	0	0	0	0	0	0	0	0	0	0	0	4.643	0	0	0	0	0	0	0	0	0	0
K00012	19.486	0	47.986	0	1535.097	0	139.802	0	648.787	50.241	229.512	0	22.72	85.7	92.976	0	245.746	0	0	335.921	0	90.75	0	9.829	0	110.031	0	975.192	0	198.336	0	73.334	0	344.811	0	0	1915.286	32.272	47.1	0
K00012|g__Campylobacter.s__Campylobacter_concisus	0	0	0	0	34.025	0	3.41	0	28.129	5.956	9.375	0	0	0	0	0	8.525	0	0	4.262	0	0	0	0	0	1.704	0	6.819	0	5.114	0	0	0	22.091	0	0	27.939	3.402	0	0
K00012|g__Porphyromonas.s__Porphyromonas_gingivalis	0	0	1.687	0	3.237	0	0	0	0	0	0	0	0	0	46.828	0	0	0	0	25.325	0	0	0	0	0	0	0	0	0	5.063	0	0	0	0	0	0	1.599	0	0	0
K00012|g__Prevotella.s__Prevotella_histicola	7.205	0	6.192	0	101.563	0	8.107	0	382.844	20.564	86.335	0	0	5.403	13.513	0	0	0	0	127.752	0	48.643	0	0	0	95.798	0	174.865	0	17.96	0	25.165	0	0	0	0	495.703	7.206	4.504	0
K00012|g__Prevotella.s__Prevotella_melaninogenica	5.405	0	16.203	0	786.359	0	38.677	0	9.007	0	3.604	0	5.409	8.871	8.105	0	31.527	0	0	39.607	0	0	0	0	0	0	0	121.419	0	34.224	0	0	0	152.201	0	0	581.396	3.603	0	0
K00012|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	14.005	0	0	0	0	0	0	0	0	1.883	0	0	0	0	0	0.917	0	0	0	0	0	0	0	0	0	1.75	0	0	0	0	0	0	1.837	0	0	0
K00012|g__Veillonella.s__Veillonella_dispar	6.876	0	7.802	0	387.566	0	49.094	0	85.388	8.847	119.778	0	3.933	11.796	22.564	0	116.921	0	0	79.612	0	13.764	0	0	0	3.932	0	464.565	0	61.82	0	10.752	0	71.368	0	0	324.741	0	17.589	0
K00012|g__Veillonella.s__Veillonella_parvula	0	0	0	0	7.853	0	14.746	0	0	0	0	0	0.983	15.582	1.967	0	14.747	0	0	20.565	0	0	0	9.829	0	1.967	0	29.427	0	7.864	0	0	0	16.671	0	0	67.498	3.932	0	0
K00012|unclassified	0	0	16.101	0	200.49	0	25.767	0	143.42	14.874	10.42	0	12.394	42.165	0	0	74.026	0	0	37.881	0	28.343	0	0	0	6.63	0	178.097	0	64.54	0	37.417	0	82.479	0	0	414.574	14.129	25.007	0
K00013	2.659	0	2.659	0	47.335	0	88.328	0	35.688	5.692	113.308	0	0	28.306	12.494	0	149.061	0	0	116.378	0	1.703	0	10.579	0	20.203	0	358.862	0	34.186	0	2.624	0	22.922	0	0	178.08	7.091	84.969	0
