Kegg	SmNV.0016.BronchSup	SmNV.0016.BAL.L.untouched	COPD.0021.BronchSup	COPD.0021.BAL.R.untouched	SmNV.0023.BronchSup	SmNV.0023.BAL.R.Untouched	SmNV.0027.Oral	SmNV.0027.BAL.L.untouched	COPD.0030.BronchSup	COPD.0030.BAL.L.untouched	SmNV.0032.Oral	SmNV.0032.BAL.R.untouched	COPD.0035.BAL.L.untouched	COPD.0035.BronchSup	COPD.0036.Oral	COPD.0036.BAL.L.Untouched	SmNV.0038.Oral	SmNV.0038.Bronch	SmNV.0038.BAL.L.untouched	SmNV.0039.Oral	SmNV.0039.BAL.L.untouched	SmNV.0005.BronchSup	SmNV.0005.BAL.L.untouched	COPD.0003.Oral	COPD.0003.BAL.L.untouched	SmNV.0008.BronchSup	SmNV.0008.BAL.L.untouched	COPD.0007.BronchSup	COPD.0007.BAL.L.untouched	SmNV.0009.Oral	SmNV.0009.BAL.L.untouched	SmNV.0004.BronchSup	SmNV.0004.BAL.L.untouched	COPD.0026.BronchSup	COPD.0026.BAL.R.untouched	COPD.0002.Bronch	COPD.0002.BronchSup	COPD.0002.BALF.L.untouched	COPD.0041.BronchSup	COPD.0041.BAL.L.untouched
K02038|g__Streptococcus.s__Streptococcus_anginosus	0	0	0	0	1.361	0	9.522	0	4.08	0	0	0	0	0	0	0	2.721	0	0	5.44	0	2.721	0	0	0	0	0	2.721	0	0	0	0	0	0	0	0	18.67	0	2.719	0
K02038|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	1.361	0	0	0	0	0	0	1.258	1.299	0	1.361	0	0	0	0	0	0	0	0	0	0	4.082	0	0	0	0	0	0	0	0	0	0	0	0
K02038|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	1.361	0	0	0	0	0	0	0	0	0	33.874	0	0	17.68	0	1.359	0	0	0	0	0	4.082	0	0	0	0	0	0	0	0	0	0	0	0
K02038|g__Streptococcus.s__Streptococcus_infantis	0	0	2.719	0	18.077	0	14.566	0	43.072	5.281	16	0	0	29.655	7.835	0	205.619	0	0	55.952	0	2.721	0	4.082	0	0	0	98.447	0	14.639	0	0	0	54.034	0	0	43.675	0	0	0
K02038|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	23.097	0	35.369	0	65.054	0	31.149	7.959	50.243	0	13.94	36.325	12.245	0	877.281	0	0	107.385	0	24.441	0	2.721	0	0	0	222.28	0	14.809	0	2.721	0	208.429	0	0	118.01	13.74	4.076	0
K02038|g__Streptococcus.s__Streptococcus_oligofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.088	0	0	1.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02038|g__Streptococcus.s__Streptococcus_peroris	0	0	0	0	0	0	0	0	1.359	0	0	0	0	0	0	0	13.602	0	0	2.721	0	0	0	0	0	0	0	17.683	0	0	0	0	0	0	0	0	0	0	0	0
K02038|g__Streptococcus.s__Streptococcus_salivarius	0	0	0	0	22.525	0	21.24	0	7.945	0	57.093	0	0	14.381	50.389	0	59.743	0	0	562.212	0	2.656	0	37.002	0	19.701	0	98.058	0	21.015	0	17.176	0	0	0	0	23.801	0	80.632	0
K02038|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	13.472	0	0	0	0	0	0	2.719	8.161	0	113.95	0	0	17.566	0	0	0	0	0	0	0	2.719	0	10.884	0	0	0	0	0	0	2.721	0	0	0
K02038|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	4.078	0	0	9.524	0	0	5.44	0	0	0	0	0	0	0	8.161	0	0	0	0	0	0	0	0	36.231	0	0	0
K02038|unclassified	0	0	0	0	0	0	0	0	5.261	0	0	0	4.944	0	0	0	57.251	0	0	22.722	0	15.483	0	0	0	30.492	0	8.324	0	4.389	0	9.664	0	0	0	0	0	0	66.044	0
K02039	3.968	0	35.857	0	61.453	0	136.221	0	83.16	33.097	145.005	0	27.458	104.079	37.306	0	1800.506	0	0	345.291	0	42.834	0	67.747	0	49.94	0	596.699	0	74.619	0	14.879	0	344.964	0	0	296.13	27.754	140.8	0
K02039|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	3.941	0	0	0	0	0	0	0	0	0	29.57	0	0	5.917	0	0	0	0	0	0	0	3.941	0	1.972	0	0	0	0	0	0	0	0	0	0
K02039|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.933	0	0	15.865	0	0	0	0	0	0	0	5.952	0	0	0	0	0	0	0	0	0	0	0	0
K02039|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	5.948	0	0	0	3.968	1.984	1.98	0	0	0	3.964	0	29.742	0	0	21.328	0	5.952	0	0	0	0	0	19.736	0	5.952	0	0	0	0	0	0	3.964	0	0	0
K02039|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	3.968	0	35.857	0	21.806	0	55.378	0	59.358	7.59	35.422	0	15.557	52.926	11.901	0	1193.039	0	0	98.431	0	21.743	0	15.97	0	0	0	148.402	0	23.064	0	0	0	289.46	0	0	109.594	19.829	13.873	0
K02039|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	0	0	31.715	0	64.998	0	17.849	23.522	102.973	0	11.901	35.459	13.505	0	357.607	0	0	156.939	0	3.968	0	39.561	0	41.352	0	356.063	0	35.699	0	7.929	0	55.504	0	0	146.394	5.941	7.789	0
K02039|g__Streptococcus.s__Streptococcus_peroris	0	0	0	0	0	0	0	0	1.984	0	0	0	0	0	0	0	3.968	0	0	5.952	0	0	0	0	0	0	0	3.968	0	0	0	0	0	0	0	0	0	0	0	0
K02039|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	11.905	0	0	0	0	0	0	7.769	3.968	0	61.41	0	0	13.183	0	0	0	3.968	0	0	0	0	0	7.933	0	0	0	0	0	0	0	1.984	0	0
K02039|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	1.984	0	0	0	0	0	0	0	0	7.925	3.968	0	51.243	0	0	11.901	0	0	0	0	0	0	0	15.873	0	0	0	0	0	0	0	0	27.653	0	0	0
K02039|unclassified	0	0	0	0	0	0	0	0	0	0	4.63	0	0	0	0	0	65.994	0	0	15.776	0	11.17	0	8.248	0	8.588	0	42.762	0	0	0	6.95	0	0	0	0	8.525	0	119.138	0
K02040	6.386	0	24.048	0	990.91	0	193.74	0	223.511	39.545	189.823	0	19.361	82.409	59.645	0	607.536	0	0	261.048	0	5.124	0	58.98	0	96.205	0	656.709	0	145.967	0	53.977	0	197.622	0	0	1704.276	31.425	60.868	0
K02040|g__Prevotella.s__Prevotella_melaninogenica	6.386	0	10.215	0	795.309	0	84.102	0	67.248	5.105	31.828	0	7.663	22.783	12.767	0	54.718	0	0	29.158	0	0	0	0	0	0	0	164.386	0	49.669	0	0	0	145.958	0	0	1015.422	11.489	0	0
K02040|g__Streptococcus.s__Streptococcus_cristatus	0	0	0	0	0	0	4.078	0	0	0	0	0	0	6.716	1.361	0	16.327	0	0	0	0	0	0	0	0	0	0	0	0	9.522	0	0	0	0	0	0	0	0	0	0
K02040|g__Streptococcus.s__Streptococcus_gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.197	0	9.534	0	0	20.285	0	0	0	0	0	0	0	1.364	0	0	0	0	0	0	0	0	0	0	1.366	0
K02040|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	6.859	0	8.437	0	8.135	0	0	1.477	4.255	0	0	11.927	4.115	0	166.328	0	0	37.451	0	0	0	0	0	0	0	39.503	0	20.537	0	0	0	8.436	0	0	155.973	5.454	1.387	0
K02040|g__Streptococcus.s__Streptococcus_oligofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.463	0	0	1.366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K02040|g__Streptococcus.s__Streptococcus_parasanguinis	0	0	6.974	0	44.356	0	44.611	0	18.119	24.854	126.441	0	8.368	20.218	16.733	0	183.87	0	0	146.208	0	1.395	0	48.539	0	77.782	0	327.986	0	31.897	0	8.272	0	22.035	0	0	147.471	4.016	8.175	0
K02040|g__Streptococcus.s__Streptococcus_sanguinis	0	0	0	0	0	0	29.84	0	0	0	0	0	0	2.692	4.098	0	45.005	0	0	9.321	0	0	0	5.463	0	0	0	0	0	12.318	0	0	0	0	0	0	0	0	0	0
K02040|g__Streptococcus.s__Streptococcus_tigurinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6	0	0	0	0	0	0	0	0	0	0	1.372	0	0	0	0	0	0	0	0	30.031	1.372	0	0
K02040|unclassified	0	0	0	0	142.809	0	22.976	0	138.144	8.109	27.298	0	3.33	18.074	12.375	0	116.691	0	0	17.259	0	3.729	0	4.978	0	18.423	0	122.098	0	22.024	0	45.705	0	21.193	0	0	355.379	9.094	49.94	0
K02041	0	0	0	0	22.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.504	0	13.841	0	6.806	0	0	0	7.538	0	0	0	12.247	0	14.083	0	0	0	0	77.976	0
K02041|unclassified	0	0	0	0	22.264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.504	0	13.841	0	6.806	0	0	0	7.538	0	0	0	12.247	0	14.083	0	0	0	0	77.976	0
K02042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94	0	0	0	0	0	0	0	0	0	0	0	0	39.945	0
K02042|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.94	0	0	0	0	0	0	0	0	0	0	0	0	39.945	0
K02044	0	0	0	0	133.376	0	0	0	39.677	0	9.706	0	0	0	0	0	0	0	0	9.703	0	24.553	0	0	0	0	0	11.347	0	14.55	0	0	0	47.201	0	0	75.855	0	85.685	0
K02044|unclassified	0	0	0	0	133.376	0	0	0	39.677	0	9.706	0	0	0	0	0	0	0	0	9.703	0	24.553	0	0	0	0	0	11.347	0	14.55	0	0	0	47.201	0	0	75.855	0	85.685	0
K02045	0	0	0	0	2.58	0	0	0	15.785	15.74	0	0	0	2.828	11.762	0	23.769	0	0	0	0	0	0	0	0	0	0	21.97	0	12.312	0	0	0	22.251	0	0	9.492	0	0	0
K02045|unclassified	0	0	0	0	2.58	0	0	0	15.785	15.74	0	0	0	2.828	11.762	0	23.769	0	0	0	0	0	0	0	0	0	0	21.97	0	12.312	0	0	0	22.251	0	0	9.492	0	0	0
K02046	3.754	0	0	0	7.79	0	0	0	16.299	7.502	0	0	0	3.818	0	0	47.086	0	0	0	0	0	0	0	0	0	0	27.09	0	18.096	0	0	0	35.3	0	0	23.387	5.014	0	0
K02046|unclassified	3.754	0	0	0	7.79	0	0	0	16.299	7.502	0	0	0	3.818	0	0	47.086	0	0	0	0	0	0	0	0	0	0	27.09	0	18.096	0	0	0	35.3	0	0	23.387	5.014	0	0
K02047	0	0	0	0	0	0	0	0	9.697	3.678	0	0	0	7.49	0	0	33.402	0	0	0	0	0	0	0	0	0	0	31.1	0	11.664	0	0	0	48.933	0	0	7.079	0	0	0
K02047|unclassified	0	0	0	0	0	0	0	0	9.697	3.678	0	0	0	7.49	0	0	33.402	0	0	0	0	0	0	0	0	0	0	31.1	0	11.664	0	0	0	48.933	0	0	7.079	0	0	0
K02048	0	0	0	0	0	0	0	0	10.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.153	0	0	0
K02048|unclassified	0	0	0	0	0	0	0	0	10.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.153	0	0	0
K02049	21.301	0	27.25	0	554.787	0	62.601	0	535.452	36.66	242.095	0	45.117	133.847	67.805	0	328.152	0	0	471.777	0	46.867	0	11.21	0	74.703	0	1286.437	0	176.068	0	43.988	0	155.734	0	0	1237.881	9.613	135.873	0
K02049|g__Atopobium.s__Atopobium_parvulum	0	0	0	0	27.079	0	1.721	0	22.908	0	2.083	0	0	0	0	0	0	0	0	29.162	0	8.32	0	0	0	0	0	35.404	0	12.496	0	0	0	0	0	0	68.235	0	2.024	0
K02049|g__Campylobacter.s__Campylobacter_concisus	0	0	0	0	0	0	3.367	0	10.095	0	0	0	0	0	0	0	10.095	0	0	0	0	0	0	0	0	0	0	1.684	0	0	0	0	0	0	0	0	1.681	0	0	0
K02049|g__Haemophilus.s__Haemophilus_parainfluenzae	3.683	0	1.838	0	14.73	0	3.683	0	58.843	1.842	89.064	0	14.73	51.304	1.838	0	106.315	0	0	31.297	0	0	0	0	0	0	0	46.027	0	49.687	0	0	0	12.642	0	0	40.339	0	0	0
K02049|g__Porphyromonas.s__Porphyromonas_gingivalis	0	0	1.821	0	3.643	0	0	0	0	0	0	0	0	0	43.689	0	7.286	0	0	41.708	0	0	0	0	0	0	0	0	0	9.107	0	0	0	0	0	0	5.464	0	0	0
K02049|g__Veillonella.s__Veillonella_atypica	16.015	0	17.182	0	301.787	0	26.792	0	325.483	31.613	99.686	0	22.45	55.552	12.815	0	111.064	0	0	233.368	0	24.611	0	3.205	0	48.379	0	647.66	0	56.729	0	35.978	0	110.865	0	0	837.729	8.01	81.272	0
K02049|g__Veillonella.s__Veillonella_dispar	1.603	0	6.408	0	158.265	0	22.229	0	66.957	3.205	51.262	0	7.937	22.192	9.462	0	76.387	0	0	79.661	0	13.935	0	0	0	0	0	539.64	0	36.703	0	8.01	0	20.828	0	0	140.797	1.603	14.144	0
K02049|g__Veillonella.s__Veillonella_parvula	0	0	0	0	12.815	0	4.808	0	0	0	0	0	0	4.8	0	0	3.205	0	0	20.821	0	0	0	8.005	0	0	0	16.023	0	8.008	0	0	0	9.515	0	0	57.15	0	22.396	0
K02049|unclassified	0	0	0	0	36.468	0	0	0	51.165	0	0	0	0	0	0	0	13.801	0	0	35.759	0	0	0	0	0	26.324	0	0	0	3.339	0	0	0	1.883	0	0	86.487	0	16.037	0
K02050	0	0	4.871	0	56.247	0	4.274	0	91.52	16.954	69.613	0	0	47.205	50.951	0	100.64	0	0	140.761	0	5.05	0	0	0	13.135	0	97.757	0	80.212	0	1.366	0	38.406	0	0	140.393	2.909	17.439	0
K02050|g__Atopobium.s__Atopobium_parvulum	0	0	0	0	13.659	0	2.73	0	9.559	1.364	2.732	0	0	0	0	0	1.366	0	0	12.136	0	2.73	0	0	0	1.366	0	9.557	0	1.364	0	1.366	0	0	0	0	33.832	1.366	1.366	0
K02050|g__Campylobacter.s__Campylobacter_concisus	0	0	0	0	10.414	0	0	0	6.941	3.249	10.364	0	0	0	0	0	5.205	0	0	0	0	0	0	0	0	0	0	5.208	0	6.944	0	0	0	0	0	0	11.804	0	0	0
K02050|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	1.541	0	13.814	0	1.543	0	32.398	12.341	46.225	0	0	47.205	3.086	0	75.4	0	0	41.474	0	0	0	0	0	0	0	53.93	0	64.501	0	0	0	13.784	0	0	19.917	1.543	0	0
K02050|g__Porphyromonas.s__Porphyromonas_gingivalis	0	0	3.331	0	0	0	0	0	0	0	0	0	0	0	47.865	0	0	0	0	36.65	0	0	0	0	0	0	0	0	0	3.331	0	0	0	0	0	0	0	0	0	0
K02050|unclassified	0	0	0	0	18.36	0	0	0	42.622	0	10.292	0	0	0	0	0	18.668	0	0	50.5	0	2.319	0	0	0	11.769	0	29.062	0	4.072	0	0	0	24.622	0	0	74.839	0	16.073	0
K02051	14.924	0	46.896	0	1307.905	0	123.439	0	464.851	25.974	313.603	0	29.186	202.027	105.802	0	434.577	0	0	537.702	0	51.133	0	12.436	0	71.367	0	954.059	0	290.45	0	86.675	0	301.561	0	0	2413.152	37.432	86.165	0
K02051|g__Atopobium.s__Atopobium_parvulum	0	0	6.85	0	25.26	0	8.072	0	51.894	1.152	10.175	0	1.153	2.307	2.304	0	8.07	0	0	42.671	0	4.614	0	0	0	4.612	0	78.407	0	3.459	0	0	0	0	0	0	120.462	0	1.153	0
K02051|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	3.623	0	14.491	0	13.282	0	45.795	3.622	62.792	0	2.415	72.114	7.245	0	104.891	0	0	14.444	0	0	0	0	0	0	0	40.805	0	77.276	0	0	0	19.294	0	0	61.058	7.241	0	0
K02051|g__Porphyromonas.s__Porphyromonas_gingivalis	0	0	7.605	0	0	0	0	0	0	0	0	0	0	7.603	30.332	0	5.068	0	0	34.141	0	0	0	0	0	0	0	0	0	12.673	0	0	0	2.535	0	0	0	2.535	0	0
